     0.10001E+01     0.64424E-03     0.58056E-02     0.00000E+00     0.50012E+00
     0.10037E+01     0.70326E-03     0.12181E-01     0.00000E+00     0.50021E+00
     0.10076E+01     0.78643E-03     0.18482E-01     0.00000E+00     0.50039E+00
     0.10120E+01     0.88502E-03     0.24683E-01     0.00000E+00     0.50064E+00
     0.10168E+01     0.95286E-03     0.30764E-01     0.00000E+00     0.50095E+00
     0.10217E+01     0.98404E-03     0.36705E-01     0.00000E+00     0.50133E+00
     0.10262E+01     0.97903E-03     0.42489E-01     0.00000E+00     0.50177E+00
     0.10300E+01     0.94204E-03     0.48106E-01     0.00000E+00     0.50226E+00
     0.10330E+01     0.87778E-03     0.53540E-01     0.00000E+00     0.50279E+00
     0.10351E+01     0.79200E-03     0.58779E-01     0.00000E+00     0.50336E+00
     0.10363E+01     0.68792E-03     0.63789E-01     0.00000E+00     0.50395E+00
     0.10369E+01     0.56645E-03     0.68540E-01     0.00000E+00     0.50456E+00
     0.10370E+01     0.43218E-03     0.73008E-01     0.00000E+00     0.50518E+00
     0.10370E+01     0.29331E-03     0.77191E-01     0.00000E+00     0.50579E+00
     0.10366E+01     0.16092E-03     0.81125E-01     0.00000E+00     0.50640E+00
     0.10355E+01     0.43994E-04     0.84833E-01     0.00000E+00     0.50701E+00
     0.10334E+01    -0.60931E-04     0.88289E-01     0.00000E+00     0.50759E+00
     0.10306E+01    -0.16665E-03     0.91419E-01     0.00000E+00     0.50812E+00
     0.10270E+01    -0.27302E-03     0.94195E-01     0.00000E+00     0.50861E+00
     0.10229E+01    -0.36628E-03     0.96654E-01     0.00000E+00     0.50905E+00
     0.10184E+01    -0.44271E-03     0.98716E-01     0.00000E+00     0.50942E+00
     0.10138E+01    -0.51617E-03     0.10020E+00     0.00000E+00     0.50969E+00
     0.10095E+01    -0.59579E-03     0.10107E+00     0.00000E+00     0.50983E+00
     0.10054E+01    -0.67087E-03     0.10152E+00     0.00000E+00     0.50990E+00
     0.10016E+01    -0.72928E-03     0.10174E+00     0.00000E+00     0.50993E+00
     0.99785E+00    -0.76256E-03     0.10187E+00     0.00000E+00     0.50993E+00
